Welfare,DegY1.5°C,DegY2°C,NPV Damages,NPV Abatement,NPV Adaptation,Type,Welfare_val,DegY1.5°C_val,DegY2°C_val,NPV Damages_val,NPV Abatement_val,NPV Adaptation_val
-505400.6005000711,0.84,214.5678148205566,472.9267167898863,29.99128463528408,19.99746118340369,DPS,-507322.1179162043,0.887,228.45280308698003,492.8399516286266,33.86620267608979,20.864858132842212
-503310.2320427642,0.73,183.19202701471357,442.7652564863657,39.596637299890375,19.96247769979526,DPS,-505114.0253861897,0.794,195.80533125384872,465.9032009444052,44.43399508057031,20.80358551251779
-501588.66364301817,0.64,19.984316361278555,396.79665783204024,89.93858180225234,19.846142753760603,DPS,-501312.6581737292,0.707,27.337836652347175,408.01419031013324,100.41891724251799,21.573843511911075
-505355.2192047476,0.81,214.20666909402803,419.10667160651946,29.995799960759978,29.304991628910475,DPS,-506975.16870680987,0.868,223.3294439522006,446.84834222129933,34.216424599947956,30.873583886256256
-504098.48658952804,0.83,404.12423041429724,511.3781796551513,19.910017581602926,19.929929974852868,DPS,-505984.4125933333,0.879,418.9891072796938,535.9721591881181,22.23069105537026,20.779633383202963
-503872.5403367795,0.64,82.77210584012455,309.83529111339413,59.88335859623282,96.40909906621818,DPS,-505292.69819157,0.704,95.35861495962536,340.30302838619826,67.78342202717711,97.74245203375288
-501582.8284913408,0.64,218.4269049432831,349.6952306160029,49.54071088532233,89.63905885303966,DPS,-503015.27627332037,0.697,231.3522141331505,386.7614880103839,56.711220476680005,91.49870541179973
-503845.7373645154,0.74,79.61055027390559,319.99208803099856,48.5583126641228,75.87269056838313,DPS,-505289.0516496964,0.798,95.05129798972716,350.6790972429869,54.992368015749406,76.9694336868596
-504788.5997308057,0.74,148.40940552924215,343.8255953413012,39.897908183900675,78.51396766446665,DPS,-506239.41182897746,0.798,168.28818374108067,375.98024716196784,45.37702056955055,78.96576095347797
-504945.39003493433,0.74,106.0104340089697,430.5300465251962,49.806824202115386,19.88352773948449,DPS,-506861.09722854226,0.784,121.19431032273462,448.25243365972665,55.003628003445385,20.361721954810065
-500039.65450438805,0.74,109.33739086975214,367.9650543770192,39.73061851863548,39.60021001584449,DPS,-501903.92808767594,0.816,124.67025292132793,389.5651734900884,44.6429777337161,41.000335507464605
-502679.01991875435,0.82,158.2721695637243,469.7751121681519,29.921808910345536,9.406487430596076,DPS,-504763.60931234865,0.868,176.50496520762798,482.14514856676976,33.705258211377526,9.74695433093753
