Welfare,DegY1.5°C,DegY2°C,NPV Damages,NPV Abatement,NPV Adaptation,Type,Welfare_val,DegY1.5°C_val,DegY2°C_val,NPV Damages_val,NPV Abatement_val,NPV Adaptation_val
-504378.7643117144,0.56,24.962271034321432,317.8080428943817,140.28200530336443,64.14883461300242,SO,-506229.8003748903,0.539,30.914596840414113,335.1813574898865,145.65669393435738,64.60593423798463
-505350.9315931074,0.61,34.690220004959585,362.4377276838635,99.91090303054858,37.25770044209185,SO,-507242.80604107195,0.63,40.91947763187225,375.99797457230824,108.80711319525346,37.657447374559894
-504257.00589607586,0.6,38.885505248811334,298.9828620246091,99.43935415847871,129.64721378592915,SO,-505747.93262474815,0.632,44.99550728060629,326.41062315746046,108.75133492756635,131.00042714999992
-501577.57753031095,0.56,29.36288003608313,269.8398478300659,115.98121343054332,102.33897290120393,SO,-503229.2445020978,0.54,34.53194449607755,295.8648701259097,127.14782378750537,105.96260174622992
-502628.24934452685,0.7,54.20073263064657,326.10368714249597,59.282169351129305,89.34476870370867,SO,-504205.5883472632,0.763,62.64737245681033,353.6134864555099,67.61643643563175,90.55422772281634
-502762.0484667899,0.54,24.869921974588962,288.40199586212105,118.32746893159815,98.19676635747943,SO,-504519.80364997947,0.528,30.623806685250745,312.48753942200887,132.08298014599873,99.86867411436357
-504846.1992049557,0.67,48.82156544935339,329.6266260239756,69.91529750280732,104.28059338952269,SO,-506450.58471213945,0.735,56.57570156223449,354.9396062842064,78.03120746442303,105.35083418610098
-504342.8992114886,0.56,24.658388958134488,332.1938689206727,139.04118139963447,45.14043671919171,SO,-506283.33092648466,0.534,30.645763643203324,346.1166583744024,147.8617600322021,45.59088201073977
-504804.3066956786,0.63,44.56482765918519,319.6276948083405,79.5921660738229,78.2022558130601,SO,-506403.69018329185,0.685,51.368405318724434,343.5644772241265,88.26051406057503,78.76987661549603
-505699.15072574595,0.72,58.96662511146135,349.7173090102751,68.31908995502936,74.35641547050145,SO,-507358.3272193284,0.771,67.95631389346667,374.70039536349765,75.71802432928331,75.26972194772854
