Welfare,DegY1.5°C,DegY2°C,NPV Damages,NPV Abatement,NPV Adaptation,Type,Welfare_val,DegY1.5°C_val,DegY2°C_val,NPV Damages_val,NPV Abatement_val,NPV Adaptation_val
-506964.6724560167,,,,,,SO,-508491.45127183746,0.816,71.73365692004019,388.20863588167475,65.72910907751732,47.038608222944255
-504342.8992114886,0.56,24.658388958134488,332.1938689206727,139.04118139963447,45.14043671919171,SO,-490224.3591428162,0.587,37.459395427077126,340.867420696071,168.70359947696147,44.47019069983824
-502032.7439503283,0.59,31.51558992635678,299.93744777319705,89.43514740480539,49.39538674060253,SO,-500412.89114280057,0.632,41.26147098897892,326.76360750897726,137.52073975657711,52.27145790842445
-503513.41205378994,0.56,24.986813296708046,305.43849284224103,117.53336467177482,64.8827561346102,SO,-488370.07416269,0.588,38.32577209160209,325.2991657714297,177.9860413727325,65.24190179237986
-501112.414454955,0.6,39.57070431449874,279.9575909252993,79.8361400947858,123.43103064735962,SO,-499611.24153554,0.662,50.308562490817565,316.2500848860484,131.333490041013,127.40774871338476
-504000.22904153966,0.6,37.68567583411491,319.9011441477808,79.55365948353605,51.99026702153547,SO,-505428.9699572402,0.68,48.595884025044306,350.93496446684486,116.45039857011058,56.14083887304762
-503961.11409604864,0.61,33.95338732161938,308.9765653772463,79.79051915324335,65.36542108428264,SO,-505146.4385760802,0.665,44.65204404700425,343.5951949882918,121.60342286144926,69.42215233093371
-503668.03080976754,0.59,29.680785295624105,337.6887406810527,97.6150831832677,37.63505810494681,SO,-497965.64488052024,0.629,40.54482407197763,356.4641170413751,151.308181835483,37.91922451454531
-502393.7665515592,0.6,34.362179991701694,289.83088260960767,79.87263297201835,78.23267049099279,SO,-502271.36656232475,0.659,44.77302561827345,322.5914273277661,129.30863753046793,80.49239726373958
-503380.1005044744,0.57,29.415414306744296,289.9092025736025,111.13134836540812,63.74722940786896,SO,-499481.3484947552,0.606,38.92657192360755,316.7920027045215,157.47691866134625,68.36976899512763
-500923.41321167984,0.6,34.40623832031834,299.749336264263,88.7531042769478,38.27609405133002,SO,-501675.6151542754,0.649,44.03987539273932,328.7782630991187,130.78996246091205,40.961953920019276
-500350.1433422084,0.58,33.913114471855124,269.92855420502394,88.32550232212094,93.72216883850776,SO,-497882.8745041503,0.623,44.82194650712335,303.2572476437866,141.22720855656948,98.34767979066675
-501606.5232218966,0.58,29.522238948140835,279.97056013334685,89.91812241079754,73.8737010772922,SO,-499619.32684049604,0.62,40.35895567710343,310.98494917865594,147.5922414764807,76.47480629437702
-502124.3288087689,0.54,28.205059646788538,289.8852901714718,107.40016696122748,54.19610638822521,SO,-479789.74410940363,0.591,43.12136171293443,303.31443926994643,187.53257836870242,53.89473534549702
-500093.2723206656,0.62,42.669649841559085,289.7693449256245,69.72887779731967,90.1626799299535,SO,-501665.82591328205,0.717,53.92515897876624,327.2280814083693,94.82417948180714,91.76184064042764
-502759.99799769215,0.54,27.848415917429776,307.5356569355943,109.7491517802146,47.944611613285176,SO,-481588.81828799384,0.593,42.17730233691423,320.5124012545355,188.34091871159478,47.65438471179907
-503380.60887331376,0.6,33.855562110452794,308.3116730333001,79.51929173836285,57.26716018078683,SO,-503946.8218981501,0.659,44.86173837741398,340.5243056467826,125.99073525243622,61.991428658271666
-504143.29262273846,0.6,33.569371218186355,309.4513082505129,85.27004400537697,54.86138257390749,SO,-505309.06305342243,0.654,43.455722954140676,340.9157468636965,124.75975512833416,59.482656670827865
-503286.32895948266,0.61,43.59615014844169,319.7985863491211,69.6338329518649,54.920823799066056,SO,-505055.7684784692,0.712,55.38169901047445,350.60019968864356,98.58791494276048,57.401222938134026
-503664.22468778846,0.57,29.05027823200152,329.48768646686244,144.0547842473102,38.477457533781255,SO,-492697.4793252077,0.588,41.27848917806618,339.4603826871885,175.08956646746566,37.977615699160545
