,Welfare,P(GMST > 2°C),Warming above 2°C [°C yr],NPV Damages [10^12 USD],NPV Abat. costs [10^12 USD],NPV Adapt. costs [10^12 USD],Type,Δ CBGE [%],Method
0,-492936.4931425423,0.586,36.69748758540613,344.11490623237836,163.3749898914964,44.045151967624,0,-6.748751860793323,Static intertemporal
1,-483843.0047748956,0.589,38.30949496993526,358.40598228908664,186.23289791835893,37.15878415116074,0,-10.52851546307032,Static intertemporal
2,-507429.2479414771,0.667,47.235202518215736,360.46247757644034,106.82405770907488,55.93334874166416,0,-0.5464558070873426,Static intertemporal
3,-506874.32649738283,0.659,47.0621682063247,352.82149521841495,119.05348242892153,60.60362390955181,0,-0.7879871226109336,Static intertemporal
4,-506627.38061819744,0.65,43.16843684355835,347.0279365674121,124.47620452911727,63.595137460994884,0,-0.8953672511092248,Static intertemporal
5,-498748.198592215,0.606,39.59693635360191,323.18119176729437,150.2707425330562,68.52979814714523,0,-4.28795742977014,Static intertemporal
6,-486067.1966088426,0.588,40.85443942690186,324.2648363499564,177.85668464646227,52.78918609935961,0,-9.611960225938299,Static intertemporal
7,-506700.0290530004,0.654,43.47393083790237,362.03528571273057,122.37925775217875,48.137577896481226,0,-0.8637839803422032,Static intertemporal
8,-505787.2025808994,0.623,38.166273433010616,350.44795883243347,136.9798251104304,54.63740476773341,0,-1.2602251934920483,Static intertemporal
9,-507512.97610798065,0.702,52.88723823446937,363.6389677976774,103.24154629472544,57.76078324642662,0,-0.5099848108490179,Static intertemporal
10,-507365.893398458,0.68,48.8605975824222,356.5402175853814,106.37069627473136,62.78501665203067,0,-0.5740474067380097,Static intertemporal
11,-508491.45127183746,0.816,71.73365692004019,388.20863588167475,65.72910907751732,47.038608222944255,0,-0.08322737081802867,Static intertemporal
12,-508796.69587016554,0.752,49.050431461898256,363.82645620460977,84.28039767094577,33.40537493688949,1,0.05010927087896189,Self-adaptive
13,-508170.0081580998,0.675,39.03674456676173,361.4112838709761,111.7794185350535,24.62916794822538,1,-0.2235341177696748,Self-adaptive
14,-482261.6187871536,0.586,30.66868441133918,341.3573622650154,190.2892486651052,48.546531953358055,1,-11.1770564908805,Self-adaptive
15,-508486.49494897726,0.708,41.51614783059562,365.8932710218486,100.11069640930636,24.662832342785364,1,-0.08539157997368152,Self-adaptive
16,-507897.323556373,0.667,37.76152519354369,355.9658381552034,116.94990345242118,25.911299330259435,1,-0.3424732471258518,Self-adaptive
17,-508631.5424033832,0.736,44.13226335513275,360.06741441910634,94.18160155560336,32.74792125432521,1,-0.02204504455919354,Self-adaptive
18,-507736.89096158696,0.662,33.58594869518244,372.004569886112,116.13363809257947,31.16537834517772,1,-0.41241402114339243,Self-adaptive
19,-505891.8732567944,0.636,30.19358257615415,356.8022677210999,130.08195337656812,31.651127015172207,1,-1.2148109868365786,Self-adaptive
20,-499835.1839129334,0.62,32.69488705802625,373.5852756583056,147.35173620100636,14.243421681849991,1,-3.823790128511939,Self-adaptive
21,-507568.68581332575,0.658,32.88058416612446,377.189395720765,119.66792641659266,23.974789247063523,1,-0.4857142492012634,Self-adaptive
22,-507827.6416098787,0.667,34.46831885330437,379.8328641422906,112.95537545364009,24.534858593368682,1,-0.37285448933706,Self-adaptive
