,TCR,ECS,TYPE,TCR [°C],ECS [°C]
0,1.3803672039297883,2.54449800125765,FAIR,,
1,1.4645403381349367,3.2000124694734473,FAIR,,
2,2.203464677629294,3.41430200162711,FAIR,,
3,2.1991857245138013,4.449040005587169,FAIR,,
4,2.049512335738106,3.5847859229613346,FAIR,,
5,1.673646623410754,2.9325682377864055,FAIR,,
6,1.9037291246045567,3.462872537579846,FAIR,,
7,2.024022498858706,3.667595760805171,FAIR,,
8,1.983480216863474,3.2836334314017095,FAIR,,
9,2.1135193028382653,3.6379325988303646,FAIR,,
10,1.7935883069045861,2.646962008449764,FAIR,,
11,1.6038179457824682,2.8048432638140293,FAIR,,
12,1.9050572762461973,3.8828987485751147,FAIR,,
13,1.4441015831685273,2.7612631202082762,FAIR,,
14,1.9253466683490397,3.0463403076217364,FAIR,,
15,2.3226599270318253,4.060102885817596,FAIR,,
16,2.2780740988914605,3.442676346447924,FAIR,,
17,1.3648134716915006,2.205859695900734,FAIR,,
18,1.5499529923980349,2.864951869223637,FAIR,,
19,1.4942434531302975,2.843389644034965,FAIR,,
20,2.170800139270057,4.378973391276994,FAIR,,
21,1.487610833246795,3.2854910612285093,FAIR,,
22,1.9526607673951442,4.074214107154059,FAIR,,
23,2.7269721064771524,5.212919526419638,FAIR,,
24,1.7772525507662804,2.9667323003114165,FAIR,,
25,1.701885280327627,3.2173444073657214,FAIR,,
26,1.680795738272672,2.7193539773198676,FAIR,,
27,1.4344583983334123,2.448321338864426,FAIR,,
28,1.8718350204906835,3.5255087216326935,FAIR,,
29,1.7525309477405355,3.6103013601778473,FAIR,,
30,2.3805694824712758,4.4748567451768455,FAIR,,
31,1.7366039507661293,3.9118154200021666,FAIR,,
32,1.1324610207212966,2.7107636285517613,FAIR,,
33,2.14119735502616,5.597433904524545,FAIR,,
34,1.5940639140284392,2.904299561166436,FAIR,,
35,1.6291215313246215,3.154150681545147,FAIR,,
36,1.4421244405651965,2.406202297635183,FAIR,,
37,1.6374122663521913,2.9423846195893297,FAIR,,
38,1.6268045133963247,3.1155690872140807,FAIR,,
39,2.241640152817792,4.1833137751243585,FAIR,,
40,1.5514751196567655,2.590849235729692,FAIR,,
41,2.0320655108367425,2.743283474641107,FAIR,,
42,1.3474144806101405,2.712394469819584,FAIR,,
43,1.5625272714694827,2.2765140664121986,FAIR,,
44,1.7401313311829296,2.267299935626967,FAIR,,
45,1.5058194652555614,2.943497551608724,FAIR,,
46,1.6942380033423223,2.523154089968033,FAIR,,
47,1.5486215815147029,3.0448304228430656,FAIR,,
48,1.9822473707672186,3.5267922048060267,FAIR,,
49,1.1328613088936017,1.748904745844777,FAIR,,
50,1.501538929371152,2.714161126659938,FAIR,,
51,2.085147619141674,3.8497984922457507,FAIR,,
52,2.375045805713655,5.233030867027064,FAIR,,
53,1.3016910628473162,2.6966825923717934,FAIR,,
54,1.9655520933666233,3.7686444172597975,FAIR,,
55,1.8470078765602755,2.3725385702910184,FAIR,,
56,1.8989275432125599,3.1806295333935957,FAIR,,
57,1.6989923491029935,3.4019889953445,FAIR,,
58,1.2830240454998612,1.8540838969553932,FAIR,,
59,1.532047725008827,2.155382567319828,FAIR,,
60,1.776954865342077,3.6367946701783533,FAIR,,
61,1.5891073572777932,2.65284048340766,FAIR,,
62,2.0854981593824,2.9664824155956495,FAIR,,
63,2.3309598437746293,5.1527223493232945,FAIR,,
64,2.046880118245759,3.1438252134975926,FAIR,,
65,1.7461133727211022,2.9246498749236802,FAIR,,
66,1.8077463323791791,2.506748660142562,FAIR,,
67,1.617797344772521,2.577727671212882,FAIR,,
68,1.8771098380190614,3.978505814649781,FAIR,,
69,1.4254791916178333,2.808607850644609,FAIR,,
70,1.605660715434211,2.3385187255968405,FAIR,,
71,2.7504231543414495,4.228480178615955,FAIR,,
72,2.152838211474418,3.8199388410652744,FAIR,,
73,1.3781848938423242,2.094292281624955,FAIR,,
74,1.7021244125055635,3.281305440682316,FAIR,,
75,1.7365553985605575,2.8664115307833873,FAIR,,
76,1.598371304715721,3.134421387062705,FAIR,,
77,1.6103839708377397,3.0326919751647026,FAIR,,
78,2.154322295822849,4.975613725456838,FAIR,,
79,1.009902092861605,1.6078174203142797,FAIR,,
80,1.672521017729421,2.9166291877631307,FAIR,,
81,1.4747968024000764,3.5208360934687115,FAIR,,
82,0.9903112638126197,2.033122265020974,FAIR,,
83,1.6125016483173509,2.4465247290973413,FAIR,,
