,Welfare,P(GMST > 2°C),Warming above 2°C [°C yr],NPV Damages [10^12 USD],NPV Abat. costs [10^12 USD],NPV Adapt. costs [10^12 USD],Type,Δ CBGE [%],Method
0,-495430.30909148214,0.581,35.512170120608076,345.7647003392558,157.88233908372987,44.30955892125877,0,-5.697137052122814,Static intertemporal
1,-487113.9115070689,0.58,37.600808268135864,357.8044710069166,180.7329083795863,37.33757731922988,0,-9.178846657564266,Static intertemporal
2,-507526.8577819995,0.666,46.513758230205255,358.65717686116886,105.11873860447751,55.8871859520119,0,-0.5039374075339498,Static intertemporal
3,-507037.4408436174,0.655,46.346194282256526,351.16821752677083,117.51282100540337,60.570568560962776,0,-0.7170246052144558,Static intertemporal
4,-506821.89826252864,0.644,42.501655239532724,345.352940541841,122.7658874524869,63.55369551774529,0,-0.8107899781825356,Static intertemporal
5,-500516.2990248843,0.593,38.268633333133124,322.7874209809666,149.43371883727585,68.68494670392406,0,-3.532309040858528,Static intertemporal
6,-488626.39942313026,0.581,40.14572477526551,323.57578206863207,173.2243797352522,52.94383500572304,0,-8.550991651574746,Static intertemporal
7,-506883.5295367818,0.65,42.81346968790026,360.195752492771,119.7014704635768,48.100204008885605,0,-0.7839841045209739,Static intertemporal
8,-506455.7388096004,0.613,37.547656302414346,348.6405093804906,133.45274463015357,54.60511568109122,0,-0.969965038086773,Static intertemporal
9,-507622.8719408784,0.692,52.10551201825038,361.8682905916848,101.20384979443519,57.715717763149925,0,-0.46210432768335474,Static intertemporal
10,-507475.3127004164,0.674,48.12902295505158,354.7916857420587,104.33411732883538,62.736853892025444,0,-0.5263914545298731,Static intertemporal
11,-508561.66101759893,0.814,70.76122477666067,386.4344410975097,64.85234287156361,47.003928619660776,0,-0.052567079823917506,Static intertemporal
12,-508704.59474059433,0.802,50.535256055830146,359.35757196285624,79.41472556280455,49.64522890053874,1,0.009867444468159015,Self-adaptive
13,-507993.3886105949,0.739,40.50960992161135,343.56428248383816,99.56038648541082,50.1033279340412,1,-0.300580648984472,Self-adaptive
14,-508543.2665746107,0.763,45.1427678609064,352.8904918632863,88.66918949932999,51.46308953655627,1,-0.06060035335994085,Self-adaptive
15,-504183.80790236284,0.644,30.892816513767162,327.87876848242803,125.5635170094614,83.52765845213013,1,-1.9544661820157572,Self-adaptive
16,-507501.85595128057,0.659,36.22318403545918,352.33709598187085,116.48405826426827,47.08059014526768,1,-0.5148290427407609,Self-adaptive
17,-508169.21565916337,0.687,42.91610013134401,344.2798337839219,110.12885109169326,49.09683606612315,1,-0.22387990173287076,Self-adaptive
18,-508918.16107567155,0.838,68.15145756300853,372.0416227258941,74.32511007616709,37.47950971315369,1,0.10319478362601497,Self-adaptive
19,-508136.9384555199,0.716,41.078160358178586,352.86881407747387,102.43336571554788,48.92714205130548,1,-0.23796256485068001,Self-adaptive
20,-508560.9387692858,0.733,48.58028883395799,354.7226783368629,96.70055987154487,42.850607196468374,1,-0.05288250886281709,Self-adaptive
21,-508840.0774029703,0.813,56.47101657943463,365.25403366845416,81.89553757655649,38.238143193852174,1,0.06906708639231596,Self-adaptive
22,-508811.01602982054,0.8,55.75374139933686,362.7150313061954,83.89634196381185,39.58640579007996,1,0.056366990504241876,Self-adaptive
23,-506753.56242538884,0.669,40.17778079419927,361.27276413898335,117.49073569658002,40.06895144712439,1,-0.8405072734686603,Self-adaptive
24,-508981.2611758718,0.901,91.01979520156796,371.55437005694677,66.05691233400712,41.99370279936091,1,0.13077835083061817,Self-adaptive
25,-495832.3065778157,0.595,35.020237514750065,335.6933887674571,153.301392031522,37.97015038398408,1,-5.527011934241743,Self-adaptive
26,-507225.8150730373,0.63,36.06855737897885,352.94985211685673,127.82879442063722,29.818551266955552,1,-0.6350381097641855,Self-adaptive
27,-507353.3619002268,0.713,33.524377361962934,366.22980052259715,101.6628236316937,49.880224462104806,1,-0.5795045131114285,Self-adaptive
28,-504979.8033728194,0.617,31.598302930003353,356.91005187096744,135.78754393993907,55.5649506236226,1,-1.6101512456738853,Self-adaptive
